2016-03-31 13:49:18,818 | features | DEBUG    | [-0.11962728147546926, -0.14026727967115649, -0.21236283630841479, -0.11328423184829624, 0.30628048022463145, -1.0103054236477584, -1.0103054236477584, -0.08498565286445009, -1.0993318665890333, -0.28454414940920925, 1.0464232998355638, -0.97833533292833186, -0.98149793638603977, -0.81598735066548955, -1.0553238238395815, 0.36837014025298176, -1.0263365303849907, -0.28086878922744563, 1.3576417758896113, 0.11597002188091633, 0.3625161506027656, 0.18594982285770975, -0.3669044094088294, 1.8154467463744133, -1.0429721339462663]
2016-03-31 13:49:20,769 | features | DEBUG    | [4.504782017325816, 3.830469729993313, 31.0, 20.44864126761186, -3.4376563540168723, 2.0893727565049276, 2.0893727565049276, 26.0, 23.32859576873377, 6.625213560664249, -7.390625, 37.0, 36.0, 558.78125, 57.0, -1.0566761941574465, 36.0, 3.921059205575812, 17.6875, 2.8992260710444127, -34.955868612251436, 18.0, 23.651643276212425, 10.921875, -15158.0]
2016-03-31 13:49:20,769 | features | DEBUG    | [-0.32901625387200434, -0.53629330735384317, -0.35640445561861966, -0.53596978150909247, 0.32328185799373388, -1.0537658975395305, -1.0537658975395305, -0.28863187622295039, -1.0866503976004755, -0.34869811294272152, 0.86492874971054978, -0.46006228056957116, -0.46128368037569917, -0.83323189208308868, -0.1373287853856382, 0.42511750093570416, -0.52964451112456956, -0.30921297181027785, 1.3428651562156861, -0.47468720259786229, 0.36394344532873446, -0.4146585770616607, -0.35234095041091801, 1.9369718506996763, -1.1174972686649918]
2016-03-31 13:49:22,732 | features | DEBUG    | [0.6065180732907689, 0.6196698408963629, 3.0, 2.8556670857136517, 0.6615576579514907, 1.9322320015496328, 1.9322320015496328, 2.0, 21.851993827010816, 0.5867215063249787, -3.546875, 126.0, 126.0, 477.890625, 126.0, 0.6741927974402075, 126.0, 0.033997762206039776, 18.703125, 0.49181289253113575, 0.6153488073912767, 2.0, 0.036002643085100164, 10.703125, -8496.0]
2016-03-31 13:49:22,733 | features | DEBUG    | [-0.57383364067661502, -0.78545447565791704, -0.80453393791703476, -0.87679296991580802, 0.32480599530405557, -1.1263160664602156, -1.1263160664602156, -0.73295090900513293, -1.1526980903720494, -0.74926387073987832, 1.0315244934820178, 1.1304998456349014, 1.1531743555184615, -0.86032597126940447, 1.1553581054984858, 0.42647709973406717, 1.1896740170845805, -0.31562603544482598, 1.3886023123492646, -0.74105230257094934, 0.38153096757131688, -0.81506417700790768, -0.42532948145388744, 1.9184789000414839, -1.0490163793551781]
2016-03-31 13:49:24,668 | features | DEBUG    | [1.5573043538093962, 1.8437144125225287, 13.0, 10.988465086317397, 2.3255994570512484, 1.9172963752703962, 1.9172963752703962, 9.0, 21.61385028314494, 2.6412368106180444, 0.015625, 58.0, 46.0, 470.53125, 62.0, 2.452145264860041, 62.0, 0.23975856598117348, 18.921875, 1.7862527309699594, 1.839737166887023, 10.0, 2.021478691532881, 10.0, 294.0]
2016-03-31 13:49:24,670 | features | DEBUG    | [-0.51412269858855586, -0.69046743627303242, -0.64448769423902941, -0.719238816958229, 0.32542470615558416, -1.133211681858036, -1.133211681858036, -0.60335785777699635, -1.1633501362459928, -0.61297678575835191, 1.1859303047824028, -0.084761104723571984, -0.28189945416523687, -0.86279097248569858, -0.043655822278092976, 0.4278736826354797, -0.032952491864148378, -0.31528656123086513, 1.3984533921318816, -0.59783069023939484, 0.38213634346419539, -0.61486137703478416, -0.41919299833032919, 1.8590372729258662, -0.95866107808930279]
2016-03-31 13:49:26,631 | features | DEBUG    | [0.8175005116904657, 0.7461964465852929, 2.0, 3.7252310930167596, 0.9795693378367702, 1.9619799271080731, 1.9619799271080731, 5.0, 22.184821183288484, 0.5461028716795884, -0.78125, 126.0, 126.0, 492.71875, 126.0, 0.8814504956765945, 126.0, 0.08305843863407031, 18.71875, 0.6980005189177504, 0.5406765574920308, 3.0, 0.036620208528197, 11.84375, -1856.0]
2016-03-31 13:49:26,631 | features | DEBUG    | [-0.560583596561538, -0.77563588901785407, -0.82053856228483535, -0.85994717827031675, 0.32492423588993768, -1.1125817743924524, -1.1125817743924524, -0.67741102990736013, -1.1378108832295797, -0.75195832392802575, 1.1513921627810009, 1.1304998456349014, 1.1531743555184615, -0.85535933399920672, 1.1553581054984858, 0.42663990080037639, 1.1896740170845805, -0.31554509274698833, 1.3893059609051659, -0.71823894082404671, 0.38149404727588498, -0.79003882701126726, -0.42532757275298816, 2.0149064284734863, -0.98076163528175242]
2016-03-31 13:49:28,582 | features | DEBUG    | [0.6610657108153077, 0.7380847105392302, 2.0, 3.9136383121823535, 0.7272532021806851, 1.9816048578109613, 1.9816048578109613, 2.0, 22.407241842051704, 0.5174133119983201, -0.375, 126.0, 126.0, 502.625, 126.0, 0.7759774054829136, 126.0, 0.05838884420272892, 18.78125, 0.7202088498495244, 0.5419380386538292, 4.0, 0.03125, 12.1875, -882.0]
2016-03-31 13:49:28,584 | features | DEBUG    | [-0.570407959330549, -0.77626536755903464, -0.82053856228483535, -0.85629722411867992, 0.32483042170135745, -1.1035211583991265, -1.1035211583991265, -0.73295090900513293, -1.1278621144240186, -0.75386145721216014, 1.1689998430170099, 1.1304998456349014, 1.1531743555184615, -0.85204126442143502, 1.1553581054984858, 0.42655705161457252, 1.1896740170845805, -0.31558579384760937, 1.3921205551287708, -0.71578172893301162, 0.38149467099161927, -0.76501347701462685, -0.42534417038156647, 2.0439667795077883, -0.97074956890712638]
2016-03-31 13:49:30,555 | features | DEBUG    | [0.5867215063249787, 0.6558385240091031, 2.0, 3.6044591847825913, 0.618942509377001, 1.989382216056658, 1.989382216056658, 3.0, 22.497807919339614, 0.5019646441105269, -0.25, 126.0, 126.0, 506.578125, 126.0, 0.719524411534645, 126.0, 0.04400533853668957, 18.65625, 0.6692044871855622, 0.48078144479647766, 3.0, 0.030243796303927404, 12.546875, -588.0]
2016-03-31 13:49:30,556 | features | DEBUG    | [-0.57507689763967496, -0.7826477509626184, -0.82053856228483535, -0.86228685468936617, 0.32479015047679416, -1.0999304371082528, -1.0999304371082528, -0.71443761597254196, -1.1238111374618329, -0.75488625070426763, 1.1744175907819356, 1.1304998456349014, 1.1531743555184615, -0.85071717671926428, 1.1553581054984858, 0.42651270774850952, 1.1896740170845805, -0.31560952445708601, 1.386491366681561, -0.72142504030195576, 0.38146443325918356, -0.79003882701126726, -0.42534728024129242, 2.0743480555891041, -0.96772744620267048]
2016-03-31 13:49:32,496 | features | DEBUG    | [2.07054473794, 2.9387716972670725, 7.0, 24.421643611458684, 3.041931720140015, 1.9916206301339119, 1.9916206301339119, 16.0, 22.34166159046753, 1.094793512332654, -0.328125, 57.0, 121.0, 507.71875, 57.0, 3.081946258679687, 62.0, 0.45193902583405077, 18.65625, 2.744895046973133, 1.3083340491032753, 22.0, 0.34461447336279705, 12.109375, -514.0]
2016-03-31 13:49:32,497 | features | DEBUG    | [-0.48189035838549865, -0.6054899347621624, -0.74051544044583262, -0.45900204925547033, 0.32569104714816788, -1.0988969857959854, -1.0988969857959854, -0.47376480654885983, -1.1307954874517283, -0.71556071335048699, 1.171031498428857, -0.10263258928766718, 1.0634822424132302, -0.85033512769847985, -0.1373287853856382, 0.42836839175474967, -0.032952491864148378, -0.31493649555506642, 1.386491366681561, -0.49176295802804665, 0.38187360114521479, -0.31455717707509895, -0.4243756591754923, 2.0373621542727194, -0.96696677586209312]
2016-03-31 13:49:34,436 | features | DEBUG    | [7.113741277318843, 13.392969305078978, 32.0, 43.3899413164308, -46.67202541403997, 2.4464728676581515, 2.4464728676581515, 30.0, 24.251579103795287, 9.3108897170375, 2.015625, 4.0, 4.0, 766.109375, 3.0, -276.1203220267717, 9.0, 22.152080635992725, 19.15625, 15.850898531375705, -114.03640303383729, 49.0, 48.32332897525621, 3.09375, 22534.0]
2016-03-31 13:49:34,437 | features | DEBUG    | [-0.16516932162706932, 0.20576588298257778, -0.34039983125081913, -0.091535148229253099, 0.30720679707224829, -0.88889667953728579, -0.88889667953728579, -0.21457870409258667, -1.0453657981258915, -0.17054272330329284, 1.2726142690212154, -1.0498212711847126, -1.0353132042491784, -0.76378794062022903, -1.1489967869471265, 0.20905481556622141, -1.0454400695873145, -0.27913454308991337, 1.4090081204703997, 0.95833375138949117, 0.32484355617714983, 0.36112727283419283, -0.27608851561560677, 1.2751884021457982, -0.73004880275903339]
2016-03-31 13:49:36,385 | features | DEBUG    | [4.83171526902661, 11.18543615105054, 33.0, 37.2480488167021, -14.486126349385978, 2.1417937046871485, 2.1417937046871485, 19.0, 21.518256111829352, 8.227794621325247, -1.359375, 6.0, 4.0, 587.171875, 3.0, -161.64114013050227, 10.0, 10.877338705109569, 17.53125, 13.685981965580867, -74.24906384451883, 44.0, 32.512441216076326, 1.34375, 10326.0]
2016-03-31 13:49:36,388 | features | DEBUG    | [-0.30848430798788984, 0.034459180999851333, -0.32439520688301859, -0.21052011137224849, 0.31917390332419332, -1.029563718756028, -1.029563718756028, -0.41822492745108697, -1.1676260174292712, -0.24239026468882746, 1.1263350793682192, -1.0140783020565223, -1.0353132042491784, -0.82372253494931702, -1.1489967869471265, 0.29897829267472076, -1.0263365303849907, -0.29773616246724399, 1.335828670656674, 0.7187993737312881, 0.34451566086533225, 0.23600052285099063, -0.32495500583518566, 1.1272447968802606, -0.85553885029644028]
2016-03-31 13:49:38,335 | features | DEBUG    | [6.770637741976074, 14.6231656177714, 44.0, 52.910642993977454, -46.90663476181306, 2.4118998200977377, 2.4118998200977377, 27.0, 23.074726513315994, 11.607073851140381, 4.015625, 4.0, 3.0, 744.609375, 3.0, -405.91620872450187, 9.0, 30.9405768634095, 17.96875, 15.052630763869345, -241.6237611516652, 50.0, 115.73531431349855, -1.28125, 30002.0]
