18:48:35:331 | Início do arquivo de aquisição de dados
18:48:40:865 | 180|Ticks=0||1|3|-2|20| 0 |
18:48:40:890 | 181|Ticks=0||1|4|-2|20| 0 |
18:48:40:972 | 182|Ticks=0||1|0|0|18| 2 |
18:48:40:994 | 183|Ticks=0||1|-3|2|19| 2 |
18:48:41:16 | 184|Ticks=15||1|-3|3|20| 2 |
18:48:41:46 | 185|Ticks=0||1|1|-11|12| 2 |
18:48:41:72 | 186|Ticks=0||1|-3|-18|13| 2 |
18:48:41:105 | 187|Ticks=0||1|5|-9|13| 2 |
18:48:41:136 | 188|Ticks=0||1|-3|-12|14| 2 |
18:48:41:167 | 189|Ticks=0||1|3|-10|14| 2 |
18:48:41:198 | 190|Ticks=0||1|-2|-5|15| 2 |
18:48:41:228 | 191|Ticks=0||1|7|0|19| 2 |
18:48:41:260 | 192|Ticks=0||1|16|4|18| 2 |
18:48:41:286 | 193|Ticks=0||1|9|6|12| 2 |
18:48:41:318 | 194|Ticks=0||1|13|7|12| 2 |
18:48:41:350 | 195|Ticks=0||1|17|6|10| 2 |
18:48:41:380 | 196|Ticks=0||1|0|6|8| 2 |
18:48:41:412 | 197|Ticks=0||1|12|0|24| 2 |
18:48:41:443 | 198|Ticks=0||1|22|-3|25| 2 |
18:48:41:470 | 199|Ticks=0||1|12|-14|45| 2 |
18:48:41:500 | 200|Ticks=16||1|-30|-16|54| 2 |
18:48:41:531 | 201|Ticks=16||1|-34|-13|26| 2 |
18:48:41:563 | 202|Ticks=15||1|-16|-21|3| 2 |
18:48:41:594 | 203|Ticks=0||1|-4|-22|0| 2 |
18:48:41:626 | 204|Ticks=0||1|-6|-25|9| 2 |
18:48:41:657 | 205|Ticks=16||1|-3|-33|17| 2 |
18:48:41:683 | 206|Ticks=0||1|2|-32|15| 2 |
18:48:41:715 | 207|Ticks=0||1|0|-27|13| 2 |
18:48:41:745 | 208|Ticks=0||1|-3|-24|14| 2 |
18:48:41:777 | 209|Ticks=0||1|1|-12|14| 2 |
18:48:41:808 | 210|Ticks=0||1|0|-9|16| 2 |
18:48:41:839 | 211|Ticks=0||1|-4|-17|19| 2 |
18:48:41:866 | 212|Ticks=0||1|-2|-15|18| 2 |
18:48:41:896 | 213|Ticks=0||1|0|-16|16| 2 |
18:48:41:928 | 214|Ticks=0||1|-1|-17|17| 2 |
18:48:41:960 | 215|Ticks=0||1|-4|-16|17| 2 |
18:48:41:991 | 216|Ticks=0||1|-2|-15|17| 2 |
18:48:42:23 | 217|Ticks=0||1|-1|-16|16| 2 |
18:48:42:53 | 218|Ticks=0||1|0|-15|17| 2 |
18:48:42:318 | 219|Ticks=0||1|-2|-16|17| 2 |
18:48:42:343 | 220|Ticks=15||1|-3|-15|16| 2 |
18:48:42:374 | 221|Ticks=0||1|-2|-16|17| 2 |
18:48:42:405 | 222|Ticks=16||1|-2|-16|16| 2 |
18:48:42:438 | 223|Ticks=0||1|-4|-16|16| 2 |
18:48:42:467 | 224|Ticks=16||1|-3|-15|17| 2 |
18:48:42:500 | 225|Ticks=0||1|-5|-15|16| 2 |
18:48:42:525 | 226|Ticks=0||1|-4|-15|16| 2 |
18:48:42:558 | 227|Ticks=0||1|-3|-15|16| 2 |
18:48:42:588 | 228|Ticks=0||1|-3|-15|16| 2 |
18:48:42:620 | 229|Ticks=0||1|-4|-16|17| 2 |
18:48:42:652 | 230|Ticks=0||1|-3|-15|16| 2 |
18:48:42:682 | 231|Ticks=0||1|-4|-15|17| 2 |
18:48:42:714 | 232|Ticks=0||1|-4|-15|16| 2 |
18:48:42:739 | 233|Ticks=0||1|-4|-15|16| 2 |
18:48:42:772 | 234|Ticks=0||1|-3|-15|16| 2 |
18:48:42:803 | 235|Ticks=0||1|-3|-16|17| 2 |
18:48:42:833 | 236|Ticks=0||1|-4|-15|17| 2 |
18:48:42:865 | 237|Ticks=0||1|-4|-15|17| 2 |
18:48:42:896 | 238|Ticks=0||1|-4|-15|17| 2 |
18:48:42:923 | 239|Ticks=0||1|-4|-15|16| 2 |
18:48:42:954 | 240|Ticks=0||1|-4|-15|17| 2 |
18:48:42:984 | 241|Ticks=0||1|-4|-16|16| 2 |
18:48:43:16 | 242|Ticks=0||1|-3|-15|17| 2 |
18:48:43:47 | 243|Ticks=0||1|-3|-15|16| 2 |
18:48:43:78 | 244|Ticks=0||1|-4|-15|17| 2 |
18:48:43:109 | 245|Ticks=0||1|-5|-15|16| 2 |
18:48:43:135 | 246|Ticks=0||1|-4|-15|16| 2 |
18:48:43:167 | 247|Ticks=0||1|-4|-15|16| 2 |
18:48:43:198 | 248|Ticks=0||1|-3|-15|17| 2 |
18:48:43:231 | 249|Ticks=15||1|-3|-15|16| 2 |
18:48:43:261 | 250|Ticks=0||1|-3|-16|17| 2 |
18:48:43:292 | 251|Ticks=0||1|-2|-15|16| 2 |
18:48:43:319 | 252|Ticks=0||1|-3|-15|17| 2 |
18:48:43:350 | 253|Ticks=0||1|-4|-15|17| 2 |
18:48:43:380 | 254|Ticks=0||1|-4|-14|17| 2 |
18:48:43:412 | 255|Ticks=0||1|-5|-14|16| 2 |
18:48:43:444 | 256|Ticks=0||1|-5|-14|17| 2 |
18:48:43:475 | 257|Ticks=0||1|-4|-15|17| 2 |
